condition ; icdv ; dx ; method   ; pattern
mi        ; 10   ; 1  ; cdmf2019 ; ^I2([12]|5\.?2)
mi        ; 9    ; 1  ; cdmf2019 ; ^41[02]
chf       ; 10   ; 1  ; cdmf2019 ; ^I11\.?0
chf       ; 10   ; 1  ; cdmf2019 ; ^I13\.?[02]
chf       ; 10   ; 1  ; cdmf2019 ; ^I25\.?5
chf       ; 10   ; 1  ; cdmf2019 ; ^I42\.?[05-9]
chf       ; 10   ; 1  ; cdmf2019 ; ^I43
chf       ; 10   ; 1  ; cdmf2019 ; ^I50
chf       ; 10   ; 1  ; cdmf2019 ; ^P29\.?0
chf       ; 9    ; 1  ; cdmf2019 ; ^398\.?91
chf       ; 9    ; 1  ; cdmf2019 ; ^402\.?[019]1
chf       ; 9    ; 1  ; cdmf2019 ; ^404\.?[019][13]
chf       ; 9    ; 1  ; cdmf2019 ; ^425\.?[4-9]
chf       ; 9    ; 1  ; cdmf2019 ; ^428
pvd       ; 10   ; 1  ; cdmf2019 ; ^I73\.?[189]
pvd       ; 10   ; 1  ; cdmf2019 ; ^I77\.?1
pvd       ; 10   ; 1  ; cdmf2019 ; ^I79\.?[018]
pvd       ; 10   ; 1  ; cdmf2019 ; ^I7[01]
pvd       ; 10   ; 1  ; cdmf2019 ; ^K55\.?[189]
pvd       ; 10   ; 1  ; cdmf2019 ; ^Z95\.?[89]
pvd       ; 9    ; 1  ; cdmf2019 ; ^093\.?0
pvd       ; 9    ; 1  ; cdmf2019 ; ^437\.?3
pvd       ; 9    ; 1  ; cdmf2019 ; ^443\.?1
pvd       ; 9    ; 1  ; cdmf2019 ; ^443\.?[289]
pvd       ; 9    ; 1  ; cdmf2019 ; ^447\.?1
pvd       ; 9    ; 1  ; cdmf2019 ; ^44[01]
pvd       ; 9    ; 1  ; cdmf2019 ; ^557\.?[19]
pvd       ; 9    ; 1  ; cdmf2019 ; ^V43\.?4
cebvd     ; 10   ; 1  ; cdmf2019 ; ^G4[56]
cebvd     ; 10   ; 1  ; cdmf2019 ; ^H34\.?[0-2]
cebvd     ; 10   ; 1  ; cdmf2019 ; ^I6[0-8]
cebvd     ; 9    ; 1  ; cdmf2019 ; ^362\.?34
cebvd     ; 9    ; 1  ; cdmf2019 ; ^43[0-8]
dem       ; 10   ; 1  ; cdmf2019 ; ^F06\.?[18]
dem       ; 10   ; 1  ; cdmf2019 ; ^F0[1-5]
dem       ; 10   ; 1  ; cdmf2019 ; ^G13\.?[28]
dem       ; 10   ; 1  ; cdmf2019 ; ^G30
dem       ; 10   ; 1  ; cdmf2019 ; ^G31\.?[0124]
dem       ; 10   ; 1  ; cdmf2019 ; ^G94
dem       ; 10   ; 1  ; cdmf2019 ; ^R41\.?81
dem       ; 10   ; 1  ; cdmf2019 ; ^R54
dem       ; 9    ; 1  ; cdmf2019 ; ^290\.?[0-4]
dem       ; 9    ; 1  ; cdmf2019 ; ^294\.?[0-28]
dem       ; 9    ; 1  ; cdmf2019 ; ^331\.?[0-27]
dem       ; 9    ; 1  ; cdmf2019 ; ^797
copd      ; 10   ; 1  ; cdmf2019 ; ^J4[0-7]
copd      ; 10   ; 1  ; cdmf2019 ; ^J68\.?4
copd      ; 10   ; 1  ; cdmf2019 ; ^J6[0-7]
copd      ; 10   ; 1  ; cdmf2019 ; ^J70\.?[13]
copd      ; 9    ; 1  ; cdmf2019 ; ^49[0-6]
copd      ; 9    ; 1  ; cdmf2019 ; ^506\.?4
copd      ; 9    ; 1  ; cdmf2019 ; ^508\.?[18]
copd      ; 9    ; 1  ; cdmf2019 ; ^50[0-5]
rhd       ; 10   ; 1  ; cdmf2019 ; ^M0[56]
rhd       ; 10   ; 1  ; cdmf2019 ; ^M31\.?5
rhd       ; 10   ; 1  ; cdmf2019 ; ^M35\.?[13]
rhd       ; 10   ; 1  ; cdmf2019 ; ^M36\.?0
rhd       ; 10   ; 1  ; cdmf2019 ; ^M3[2-4]
rhd       ; 9    ; 1  ; cdmf2019 ; ^446\.?5
rhd       ; 9    ; 1  ; cdmf2019 ; ^710\.?[0-4]
rhd       ; 9    ; 1  ; cdmf2019 ; ^714\.?[0-28]
rhd       ; 9    ; 1  ; cdmf2019 ; ^725
pud       ; 10   ; 1  ; cdmf2019 ; ^K2[5-8]
pud       ; 9    ; 1  ; cdmf2019 ; ^53[1-4]
mld       ; 10   ; 1  ; cdmf2019 ; ^B18
mld       ; 10   ; 1  ; cdmf2019 ; ^K70\.?[0-39]
mld       ; 10   ; 1  ; cdmf2019 ; ^K71\.?[3-57]
mld       ; 10   ; 1  ; cdmf2019 ; ^K76\.?[02-489]
mld       ; 10   ; 1  ; cdmf2019 ; ^K7[34]
mld       ; 10   ; 1  ; cdmf2019 ; ^Z94\.?4
mld       ; 9    ; 1  ; cdmf2019 ; ^070\.?2[23]
mld       ; 9    ; 1  ; cdmf2019 ; ^070\.?3[23]
mld       ; 9    ; 1  ; cdmf2019 ; ^070\.?[45]4
mld       ; 9    ; 1  ; cdmf2019 ; ^070\.?[69]
mld       ; 9    ; 1  ; cdmf2019 ; ^573\.?[3489]
mld       ; 9    ; 1  ; cdmf2019 ; ^57[0-1]
mld       ; 9    ; 1  ; cdmf2019 ; ^V42\.?7
dm        ; 10   ; 1  ; cdmf2019 ; ^E0[89]\.?[01689]
dm        ; 10   ; 1  ; cdmf2019 ; ^E1[013]\.?[01689]
dm        ; 9    ; 1  ; cdmf2019 ; ^249\.?[0-39]
dm        ; 9    ; 1  ; cdmf2019 ; ^250\.?[89]
rndm      ; 10   ; 1  ; cdmf2019 ; ^I12\.?9
rndm      ; 10   ; 1  ; cdmf2019 ; ^I13\.?0
rndm      ; 10   ; 1  ; cdmf2019 ; ^I13\.?10
rndm      ; 10   ; 1  ; cdmf2019 ; ^N0[35]
rndm      ; 10   ; 1  ; cdmf2019 ; ^N18\.?[1-49]
rndm      ; 10   ; 1  ; cdmf2019 ; ^Z94\.?0
rndm      ; 9    ; 1  ; cdmf2019 ; ^403\.?[019]0
rndm      ; 9    ; 1  ; cdmf2019 ; ^404\.?[019][01]
rndm      ; 9    ; 1  ; cdmf2019 ; ^585\.?[1-49]
rndm      ; 9    ; 1  ; cdmf2019 ; ^58[23]
rndm      ; 9    ; 1  ; cdmf2019 ; ^V42\.?0
dmc       ; 10   ; 1  ; cdmf2019 ; ^E0[89]\.?[2-5]
dmc       ; 10   ; 1  ; cdmf2019 ; ^E1[013]\.?[2-5]
dmc       ; 9    ; 1  ; cdmf2019 ; ^250\.?[4-7]
hp        ; 10   ; 1  ; cdmf2019 ; ^G04\.?1
hp        ; 10   ; 1  ; cdmf2019 ; ^G11\.?4
hp        ; 10   ; 1  ; cdmf2019 ; ^G80\.?[0-2]
hp        ; 10   ; 1  ; cdmf2019 ; ^G8[1-3]
hp        ; 9    ; 1  ; cdmf2019 ; ^334\.?1
hp        ; 9    ; 1  ; cdmf2019 ; ^34[2-4]
mal       ; 10   ; 1  ; cdmf2019 ; ^C3[0-47-9]
mal       ; 10   ; 1  ; cdmf2019 ; ^C4[0135-9]
mal       ; 10   ; 1  ; cdmf2019 ; ^C5[0-8]
mal       ; 10   ; 1  ; cdmf2019 ; ^C6[0-3]
mal       ; 10   ; 1  ; cdmf2019 ; ^C76
mal       ; 10   ; 1  ; cdmf2019 ; ^C80\.?1
mal       ; 10   ; 1  ; cdmf2019 ; ^C8[1-58]
mal       ; 10   ; 1  ; cdmf2019 ; ^C[0-29]
mal       ; 9    ; 1  ; cdmf2019 ; ^17[0-24-69]
mal       ; 9    ; 1  ; cdmf2019 ; ^19[0-59]
mal       ; 9    ; 1  ; cdmf2019 ; ^1[4-68]\d\.?
mal       ; 9    ; 1  ; cdmf2019 ; ^20[0-8]
mal       ; 9    ; 1  ; cdmf2019 ; ^238\.?6
msld      ; 10   ; 1  ; cdmf2019 ; ^I85\.?0
msld      ; 10   ; 1  ; cdmf2019 ; ^I86\.?4
msld      ; 10   ; 1  ; cdmf2019 ; ^K70\.?4
msld      ; 10   ; 1  ; cdmf2019 ; ^K71\.?1
msld      ; 10   ; 1  ; cdmf2019 ; ^K72\.?[19]
msld      ; 10   ; 1  ; cdmf2019 ; ^K76\.?[5-7]
msld      ; 9    ; 1  ; cdmf2019 ; ^456\.?[0-2]
msld      ; 9    ; 1  ; cdmf2019 ; ^572\.?[2-48]
rnds      ; 10   ; 1  ; cdmf2019 ; ^I12\.?0
rnds      ; 10   ; 1  ; cdmf2019 ; ^I13\.?11
rnds      ; 10   ; 1  ; cdmf2019 ; ^I13\.?2
rnds      ; 10   ; 1  ; cdmf2019 ; ^N18\.?[56]
rnds      ; 10   ; 1  ; cdmf2019 ; ^N19
rnds      ; 10   ; 1  ; cdmf2019 ; ^N25\.?0
rnds      ; 10   ; 1  ; cdmf2019 ; ^Z49
rnds      ; 10   ; 1  ; cdmf2019 ; ^Z99\.?2
rnds      ; 9    ; 1  ; cdmf2019 ; ^403\.?[019]1
rnds      ; 9    ; 1  ; cdmf2019 ; ^404\.?[019][23]
rnds      ; 9    ; 1  ; cdmf2019 ; ^585\.?[56]
rnds      ; 9    ; 1  ; cdmf2019 ; ^586
rnds      ; 9    ; 1  ; cdmf2019 ; ^588\.?0
rnds      ; 9    ; 1  ; cdmf2019 ; ^V45\.?1[12]
rnds      ; 9    ; 1  ; cdmf2019 ; ^V56\.?3[12]
rnds      ; 9    ; 1  ; cdmf2019 ; ^V56\.?8
rnds      ; 9    ; 1  ; cdmf2019 ; ^V56\.?[012]
hiv       ; 10   ; 1  ; cdmf2019 ; ^B20
hiv       ; 9    ; 1  ; cdmf2019 ; ^042
mst       ; 10   ; 1  ; cdmf2019 ; ^C7[7-9]
mst       ; 10   ; 1  ; cdmf2019 ; ^C80\.?[02]
mst       ; 9    ; 1  ; cdmf2019 ; ^19[6-9]
aids      ; 10   ; 1  ; cdmf2019 ; ^A02\.?1
aids      ; 10   ; 1  ; cdmf2019 ; ^A07\.?2
aids      ; 10   ; 1  ; cdmf2019 ; ^A07\.?3
aids      ; 10   ; 1  ; cdmf2019 ; ^A1[5-9]
aids      ; 10   ; 1  ; cdmf2019 ; ^A31
aids      ; 10   ; 1  ; cdmf2019 ; ^A81\.?2
aids      ; 10   ; 1  ; cdmf2019 ; ^B00
aids      ; 10   ; 1  ; cdmf2019 ; ^B25
aids      ; 10   ; 1  ; cdmf2019 ; ^B37
aids      ; 10   ; 1  ; cdmf2019 ; ^B38
aids      ; 10   ; 1  ; cdmf2019 ; ^B39
aids      ; 10   ; 1  ; cdmf2019 ; ^B45
aids      ; 10   ; 1  ; cdmf2019 ; ^B58
aids      ; 10   ; 1  ; cdmf2019 ; ^B59
aids      ; 10   ; 1  ; cdmf2019 ; ^C46
aids      ; 10   ; 1  ; cdmf2019 ; ^C53
aids      ; 10   ; 1  ; cdmf2019 ; ^C8[1-9]
aids      ; 10   ; 1  ; cdmf2019 ; ^C9[0-6]
aids      ; 10   ; 1  ; cdmf2019 ; ^G93\.?4
aids      ; 10   ; 1  ; cdmf2019 ; ^R64
aids      ; 10   ; 1  ; cdmf2019 ; ^Z87\.?01
aids      ; 9    ; 1  ; cdmf2019 ; ^003\.?1
aids      ; 9    ; 1  ; cdmf2019 ; ^007\.?2
aids      ; 9    ; 1  ; cdmf2019 ; ^007\.?4
aids      ; 9    ; 1  ; cdmf2019 ; ^01[0-8]
aids      ; 9    ; 1  ; cdmf2019 ; ^031
aids      ; 9    ; 1  ; cdmf2019 ; ^046\.?3
aids      ; 9    ; 1  ; cdmf2019 ; ^054
aids      ; 9    ; 1  ; cdmf2019 ; ^078\.?5
aids      ; 9    ; 1  ; cdmf2019 ; ^112
aids      ; 9    ; 1  ; cdmf2019 ; ^114
aids      ; 9    ; 1  ; cdmf2019 ; ^115
aids      ; 9    ; 1  ; cdmf2019 ; ^117\.?5
aids      ; 9    ; 1  ; cdmf2019 ; ^130
aids      ; 9    ; 1  ; cdmf2019 ; ^136\.?3
aids      ; 9    ; 1  ; cdmf2019 ; ^176
aids      ; 9    ; 1  ; cdmf2019 ; ^180
aids      ; 9    ; 1  ; cdmf2019 ; ^20
aids      ; 9    ; 1  ; cdmf2019 ; ^348\.?3
aids      ; 9    ; 1  ; cdmf2019 ; ^799\.?4
aids      ; 9    ; 1  ; cdmf2019 ; ^V12\.?61$
