condition | icdv | dx | method         | pattern
aidshiv   | 10   | 1  | ludvigsson2021 | ^B20
aidshiv   | 10   | 1  | ludvigsson2021 | ^B21
aidshiv   | 10   | 1  | ludvigsson2021 | ^B22
aidshiv   | 10   | 1  | ludvigsson2021 | ^B23
aidshiv   | 10   | 1  | ludvigsson2021 | ^B24
aidshiv   | 10   | 1  | ludvigsson2021 | ^F02\.?4
aidshiv   | 10   | 1  | ludvigsson2021 | ^O98\.?7
aidshiv   | 10   | 1  | ludvigsson2021 | ^R75\.?
aidshiv   | 10   | 1  | ludvigsson2021 | ^Z21\.?9
aidshiv   | 10   | 1  | ludvigsson2021 | ^Z71\.?7
cebvd     | 10   | 1  | ludvigsson2021 | ^G45
cebvd     | 10   | 1  | ludvigsson2021 | ^I60
cebvd     | 10   | 1  | ludvigsson2021 | ^I61
cebvd     | 10   | 1  | ludvigsson2021 | ^I62
cebvd     | 10   | 1  | ludvigsson2021 | ^I63
cebvd     | 10   | 1  | ludvigsson2021 | ^I64
cebvd     | 10   | 1  | ludvigsson2021 | ^I67
cebvd     | 10   | 1  | ludvigsson2021 | ^I69
chf       | 10   | 1  | ludvigsson2021 | ^I11\.?0
chf       | 10   | 1  | ludvigsson2021 | ^I13\.?0
chf       | 10   | 1  | ludvigsson2021 | ^I13\.?2
chf       | 10   | 1  | ludvigsson2021 | ^I25\.?5
chf       | 10   | 1  | ludvigsson2021 | ^I42\.?0
chf       | 10   | 1  | ludvigsson2021 | ^I42\.?6
chf       | 10   | 1  | ludvigsson2021 | ^I42\.?7
chf       | 10   | 1  | ludvigsson2021 | ^I42\.?8
chf       | 10   | 1  | ludvigsson2021 | ^I42\.?9
chf       | 10   | 1  | ludvigsson2021 | ^I43
chf       | 10   | 1  | ludvigsson2021 | ^I50
copd      | 10   | 1  | ludvigsson2021 | ^J4[34]
dem       | 10   | 1  | ludvigsson2021 | ^F00
dem       | 10   | 1  | ludvigsson2021 | ^F01
dem       | 10   | 1  | ludvigsson2021 | ^F02
dem       | 10   | 1  | ludvigsson2021 | ^F03
dem       | 10   | 1  | ludvigsson2021 | ^F05\.?1
