condition | icdv | dx | method      | pattern
mi        | 10   | 1  | mimicivcode | ^I25\.?2
mi        | 10   | 1  | mimicivcode | ^I2[12]
mi        | 9    | 1  | mimicivcode | ^41[02]
chf       | 10   | 1  | mimicivcode | ^I09\.?9
chf       | 10   | 1  | mimicivcode | ^I11\.?0
chf       | 10   | 1  | mimicivcode | ^I13\.?[02]
chf       | 10   | 1  | mimicivcode | ^I25\.?5
chf       | 10   | 1  | mimicivcode | ^I42\.?[05-9]
chf       | 10   | 1  | mimicivcode | ^I43
chf       | 10   | 1  | mimicivcode | ^I50
chf       | 10   | 1  | mimicivcode | ^P29\.?0
chf       | 9    | 1  | mimicivcode | ^398\.?91
chf       | 9    | 1  | mimicivcode | ^402\.?[019]1
chf       | 9    | 1  | mimicivcode | ^404\.?[019][13]
chf       | 9    | 1  | mimicivcode | ^425\.?[4-9]
chf       | 9    | 1  | mimicivcode | ^428
pvd       | 10   | 1  | mimicivcode | ^I73\.?[189]
pvd       | 10   | 1  | mimicivcode | ^I77\.?1
pvd       | 10   | 1  | mimicivcode | ^I79\.?[02]
pvd       | 10   | 1  | mimicivcode | ^I7[01]
pvd       | 10   | 1  | mimicivcode | ^K55\.?[189]
pvd       | 10   | 1  | mimicivcode | ^Z95\.?[89]
pvd       | 9    | 1  | mimicivcode | ^093\.?0
pvd       | 9    | 1  | mimicivcode | ^437\.?3
pvd       | 9    | 1  | mimicivcode | ^443\.?[1-9]
pvd       | 9    | 1  | mimicivcode | ^447\.?1
pvd       | 9    | 1  | mimicivcode | ^44[01]
pvd       | 9    | 1  | mimicivcode | ^557\.?[19]
pvd       | 9    | 1  | mimicivcode | ^V43\.?4
cebvd     | 10   | 1  | mimicivcode | ^G4[56]
cebvd     | 10   | 1  | mimicivcode | ^H34\.?0
cebvd     | 10   | 1  | mimicivcode | ^I6[0-9]
cebvd     | 9    | 1  | mimicivcode | ^362\.?34
cebvd     | 9    | 1  | mimicivcode | ^43[0-8]
dem       | 10   | 1  | mimicivcode | ^F05\.?1
dem       | 10   | 1  | mimicivcode | ^F0[0-3]
