condition ; icdv ; dx ; method           ; pattern
aids      ; 10   ; 1  ; cdmf2019         ; ^(A(0(2\.?1|7\.?[23])|1[5-9]|31|81\.?2)|B(00|25|3[7-9]|45|5[89])|C(46|53|8[1-9]|9[0-6])|(G93\.?4|R64|Z87\.?01))
aids      ; 9    ; 1  ; cdmf2019         ; ^(0(0(3\.?1|7\.?[24])|1[0-8]|31|46\.?3|54|78\.?5)|1(1([245]|7\.?5)|3(0|6\.?3)|76|80)|20|348\.?3|799\.?4|(V12\.?61$))
aidshiv   ; 10   ; 1  ; ludvigsson2021   ; ^(B2[0-4]|F02\.?4|O98\.?7|R75\.?|Z(21\.?9|71\.?7))
aidshiv   ; 10   ; 1  ; mimicivcode      ; ^B2[0-24]
aidshiv   ; 10   ; 1  ; quan2005         ; ^B2[0-24]
aidshiv   ; 10   ; 1  ; sundararajan2004 ; ^B2[0-4]
aidshiv   ; 9    ; 1  ; deyo1992         ; ^04[2-4]
aidshiv   ; 9    ; 1  ; mimicivcode      ; ^04[2-4]
aidshiv   ; 9    ; 1  ; quan2005         ; ^04[2-4]
cebvd     ; 10   ; 1  ; cdmf2019         ; ^(G4[56]|H34\.?[0-2]|I6[0-8])
cebvd     ; 10   ; 1  ; ludvigsson2021   ; ^(G45|I6[0-479])
cebvd     ; 10   ; 1  ; mimicivcode      ; ^(G4[56]|H34\.?0|I6[0-9])
cebvd     ; 10   ; 1  ; quan2005         ; ^(G4[56]|H34\.?0|I6[0-9])
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^(G4(5\.?[012489]|6)|I6([0-6]|7\.?[0124-9]|8\.?[128]|9))
cebvd     ; 9    ; 1  ; cdmf2019         ; ^(362\.?34|43[0-8])
cebvd     ; 9    ; 1  ; deyo1992         ; ^43[0-8]
cebvd     ; 9    ; 1  ; mimicivcode      ; ^(362\.?34|43[0-8])
cebvd     ; 9    ; 1  ; quan2005         ; ^(362\.?34|43[0-8])
chf       ; 10   ; 1  ; cdmf2019         ; ^(I(1(1\.?0|3\.?[02])|25\.?5|4(2\.?[05-9]|3)|50)|P29\.?0)
chf       ; 10   ; 1  ; ludvigsson2021   ; ^I(1(1\.?0|3\.?[02])|25\.?5|4(2\.?[06789]|3)|50)
chf       ; 10   ; 1  ; mimicivcode      ; ^(I(09\.?9|1(1\.?0|3\.?[02])|25\.?5|4(2\.?[05-9]|3)|50)|P29\.?0)
chf       ; 10   ; 1  ; quan2005         ; ^(I(09\.?9|1(1\.?0|3\.?[02])|25\.?5|4(2\.?[05-9]|3)|50)|P29\.?0)
chf       ; 10   ; 1  ; sundararajan2004 ; ^I50
chf       ; 9    ; 1  ; cdmf2019         ; ^(398\.?91|4(02\.?[019]1|04\.?[019][13]|25\.?[4-9]|28))
chf       ; 9    ; 1  ; deyo1992         ; ^428
chf       ; 9    ; 1  ; mimicivcode      ; ^(398\.?91|4(0(2\.?[019]1|4\.?[019][13])|2(5\.?[4-9]|8)))
chf       ; 9    ; 1  ; quan2005         ; ^(398\.?91|4(0(2\.?[019]1|4\.?[019][13])|2(5\.?[4-9]|8)))
copd      ; 10   ; 1  ; cdmf2019         ; ^J(4[0-7]|6([0-7]|8\.?4)|70\.?[13])
copd      ; 10   ; 1  ; ludvigsson2021   ; ^J4[34]
copd      ; 10   ; 1  ; mimicivcode      ; ^(I27\.?[89]|J([46][0-7]|68\.?4|70\.?[13]))
copd      ; 10   ; 1  ; quan2005         ; ^(I27\.?[89]|J([46][0-7]|68\.?4|70\.?[13]))
copd      ; 10   ; 1  ; sundararajan2004 ; ^J[46][0-7]
copd      ; 9    ; 1  ; cdmf2019         ; ^(49[0-6]|50([0-5]|6\.?4|8\.?[18]))
copd      ; 9    ; 1  ; deyo1992         ; ^(49|50([0-5]|6\.?4))
copd      ; 9    ; 1  ; mimicivcode      ; ^(4(16\.?[89]|9)|50([0-5]|6\.?4|8\.?[18]))
copd      ; 9    ; 1  ; quan2005         ; ^(4(16\.?[89]|9)|50([0-5]|6\.?4|8\.?[18]))
dem       ; 10   ; 1  ; cdmf2019         ; ^(F0([1-5]|6\.?[18])|G(13\.?[28]|3(0|1\.?[0124])|94)|R(41\.?81|54))
dem       ; 10   ; 1  ; ludvigsson2021   ; ^(F0([0-3]|5\.?1)|G3(0|1\.?[19]))
dem       ; 10   ; 1  ; mimicivcode      ; ^(F0([0-3]|5\.?1)|G3(0|1\.?1))
dem       ; 10   ; 1  ; quan2005         ; ^(F0([0-3]|5\.?1)|G3(0|1\.?1))
dem       ; 10   ; 1  ; sundararajan2004 ; ^F0([012]|5\.?1)
dem       ; 9    ; 1  ; cdmf2019         ; ^(29(0\.?[0-4]|4\.?[0-28])|331\.?[0-27]|797)
dem       ; 9    ; 1  ; deyo1992         ; ^290
dem       ; 9    ; 1  ; mimicivcode      ; ^(29(0|4\.?1)|331\.?2)
dem       ; 9    ; 1  ; quan2005         ; ^(29(0|4\.?1)|331\.?2)
dm        ; 10   ; 1  ; cdmf2019         ; ^E(0[89]\.?[01689]|1[013]\.?[01689])
dm        ; 10   ; 1  ; ludvigsson2021   ; ^E1(0\.?[01689]|1\.?[0189]|[2-4]\.?[019])
dm        ; 10   ; 1  ; mimicivcode      ; ^E1[0-4]\.?[01689]
dm        ; 10   ; 1  ; quan2005         ; ^E1[0-4]\.?[01689]
dm        ; 10   ; 1  ; sundararajan2004 ; ^E1[0134]\.?[159]
dm        ; 9    ; 1  ; cdmf2019         ; ^2(49\.?[0-39]|50\.?[89])
dm        ; 9    ; 1  ; deyo1992         ; ^250\.?[0-37]
dm        ; 9    ; 1  ; mimicivcode      ; ^250\.?[0-389]
dm        ; 9    ; 1  ; quan2005         ; ^250\.?[0-389]
dmc       ; 10   ; 1  ; cdmf2019         ; ^E(0[89]\.?[2-5]|1[013]\.?[2-5])
dmc       ; 10   ; 1  ; ludvigsson2021   ; ^E1(0\.?[2-57]|[1-4]\.?[2-7])
dmc       ; 10   ; 1  ; mimicivcode      ; ^E1[0-4]\.?[2-57]
dmc       ; 10   ; 1  ; quan2005         ; ^E1[0-4]\.?[2-57]
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E1[0134]\.?[234]
dmc       ; 9    ; 1  ; cdmf2019         ; ^250\.?[4-7]
dmc       ; 9    ; 1  ; deyo1992         ; ^250\.?[4-6]
dmc       ; 9    ; 1  ; mimicivcode      ; ^250\.?[4-7]
dmc       ; 9    ; 1  ; quan2005         ; ^250\.?[4-7]
hiv       ; 10   ; 1  ; cdmf2019         ; ^B20
hiv       ; 9    ; 1  ; cdmf2019         ; ^042
hp        ; 10   ; 1  ; cdmf2019         ; ^G(04\.?1|11\.?4|8(0\.?[0-2]|[1-3]))
hp        ; 10   ; 1  ; ludvigsson2021   ; ^G(11\.?4|8([012]|3\.?[0-38]))
hp        ; 10   ; 1  ; mimicivcode      ; ^G(04\.?1|11\.?4|8(0\.?[12]|[1-2]|3\.?[0-49]))
hp        ; 10   ; 1  ; quan2005         ; ^G(04\.?1|11\.?4|8(0\.?[12]|[1-2]|3\.?[0-49]))
hp        ; 10   ; 1  ; sundararajan2004 ; ^G(04\.?1|8(1|2\.?[012]))
hp        ; 9    ; 1  ; cdmf2019         ; ^3(34\.?1|4[2-4])
hp        ; 9    ; 1  ; deyo1992         ; ^34(2|4\.?1)
hp        ; 9    ; 1  ; mimicivcode      ; ^3(34\.?1|4([2-3]|4\.?[0-69]))
hp        ; 9    ; 1  ; quan2005         ; ^3(34\.?1|4([2-3]|4\.?[0-69]))
mal       ; 10   ; 1  ; cdmf2019         ; ^C([0-29]|3[0-47-9]|4[0135-9]|5[0-8]|6[0-3]|76|8(0\.?1|[1-58]))
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C0[0-9]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C1[0-9]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C2[0-6]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C3[0-47-9]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C4[0135-9]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C5[0-8]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C6[0-9]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C7[0-6]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C8[1-68]
mal       ; 10   ; 1  ; ludvigsson2021   ; ^C9[0-7]
mal       ; 10   ; 1  ; mimicivcode      ; ^C([016]|2[0-6]|3[0-47-9]|4[0135-9A]|5[0-8]|7[0-6]|8[1-58]|9[0-7])
mal       ; 10   ; 1  ; quan2005         ; ^C([016]|2[0-6]|3[0-47-9]|4[0135-9]|5[0-8]|7[0-6]|8[1-58]|9[0-7])
mal       ; 10   ; 1  ; sundararajan2004 ; ^C([0-356]|4[0135-9]|7[0-6]|8([0-5]|8\.?[379])|9(0\.?[01]|[12356]|4\.?([0-3]|51|7)))
mal       ; 9    ; 1  ; cdmf2019         ; ^(1([4-68]\d\.?|7[0-24-69]|9[0-59])|2(0[0-8]|38\.?6))
mal       ; 9    ; 1  ; deyo1992         ; ^(1([45689]|7[0-24-9]|9([0-4]|5\.?[0-8]))|20[0-8])
mal       ; 9    ; 1  ; mimicivcode      ; ^(1([4-68]|7[0-24-9]|9([0-4]|5\.?[0-8]))|2(0[0-8]|38\.?6))
mal       ; 9    ; 1  ; quan2005         ; ^(1([4-68]|7[0-24-9]|9([0-4]|5\.?[0-8]))|2(0[0-8]|38\.?6))
mi        ; 10   ; 1  ; cdmf2019         ; ^I2([12]|5\.?2)
mi        ; 10   ; 1  ; ludvigsson2021   ; ^I2([12]|5\.?2)
mi        ; 10   ; 1  ; mimicivcode      ; ^I2([12]|5\.?2)
mi        ; 10   ; 1  ; quan2005         ; ^I2([12]|5\.?2)
mi        ; 10   ; 1  ; sundararajan2004 ; ^I2([12]|5\.?2)
mi        ; 9    ; 1  ; cdmf2019         ; ^41[02]
mi        ; 9    ; 1  ; deyo1992         ; ^41[02]
mi        ; 9    ; 1  ; mimicivcode      ; ^41[02]
mi        ; 9    ; 1  ; quan2005         ; ^41[02]
mld       ; 10   ; 1  ; cdmf2019         ; ^(B18|K7(0\.?[0-39]|1\.?[3-57]|[34]|6\.?[02-489])|Z94\.?4)
mld       ; 10   ; 1  ; ludvigsson2021   ; ^(B1[5-9]|K7(0\.?[39]|3|4\.?6|5\.?4))
mld       ; 10   ; 1  ; mimicivcode      ; ^(B18|K7(0\.?[0-39]|1\.?[3-57]|[34]|6\.?[02-489])|Z94\.?4)
mld       ; 10   ; 1  ; quan2005         ; ^(B18|K7(0\.?[0-39]|1\.?[3-57]|[34]|6\.?[02-489])|Z94\.?4)
mld       ; 10   ; 1  ; sundararajan2004 ; ^K7(0\.?[23]|1\.?7|3|4\.?[02-6])
mld       ; 9    ; 1  ; cdmf2019         ; ^(070\.?(2[23]|3[23]|[45]4|[69])|57([0-1]|3\.?[3489])|V42\.?7)
mld       ; 9    ; 1  ; deyo1992         ; ^571\.?[24-6]
mld       ; 9    ; 1  ; mimicivcode      ; ^(070\.?([23][23]|[45]4|[69])|57([01]|3\.?[3489])|V42\.?7)
mld       ; 9    ; 1  ; quan2005         ; ^(070\.?([23][23]|[45]4|[69])|57([01]|3\.?[3489])|V42\.?7)
msld      ; 10   ; 1  ; cdmf2019         ; ^(I8(5\.?0|6\.?4)|K7(0\.?4|1\.?1|2\.?[19]|6\.?[5-7]))
msld      ; 10   ; 1  ; ludvigsson2021   ; ^(I(85\.?[09]|98\.?[23])|R18)
msld      ; 10   ; 1  ; mimicivcode      ; ^(I(8(5\.?[09]|6\.?4)|98\.?2)|K7(0\.?4|1\.?1|2\.?[19]|6\.?[5-7]))
msld      ; 10   ; 1  ; quan2005         ; ^(I(8(5\.?[09]|6\.?4)|98\.?2)|K7(0\.?4|1\.?1|2\.?[19]|6\.?[5-7]))
msld      ; 10   ; 1  ; sundararajan2004 ; ^K7(2\.?[19]|6\.?[67])
msld      ; 9    ; 1  ; cdmf2019         ; ^(456\.?[0-2]|572\.?[2-48])
msld      ; 9    ; 1  ; deyo1992         ; ^(456\.?([01]|21)|572\.?[2-8])
