condition ; icdv ; dx ; method           ; pattern
mi        ; 10   ; 1  ; sundararajan2004 ; ^I2[12]
mi        ; 10   ; 1  ; sundararajan2004 ; ^I25\.?2
chf       ; 10   ; 1  ; sundararajan2004 ; ^I50
pvd       ; 10   ; 1  ; sundararajan2004 ; ^I71
pvd       ; 10   ; 1  ; sundararajan2004 ; ^I79\.?0
pvd       ; 10   ; 1  ; sundararajan2004 ; ^I73\.?9
pvd       ; 10   ; 1  ; sundararajan2004 ; ^R02
pvd       ; 10   ; 1  ; sundararajan2004 ; ^Z95\.?8
pvd       ; 10   ; 1  ; sundararajan2004 ; ^Z95\.?9
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I60
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I61
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I62
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I63
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I65
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I66
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G45\.?0
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G45\.?1
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G45\.?2
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G45\.?8
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G45\.?9
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G46
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I64
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^G45\.?4
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?0
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?1
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?2
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?4
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?5
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?6
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?7
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?8
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I67\.?9
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I68\.?1
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I68\.?2
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I68\.?8
cebvd     ; 10   ; 1  ; sundararajan2004 ; ^I69
dem       ; 10   ; 1  ; sundararajan2004 ; ^F0[012]
dem       ; 10   ; 1  ; sundararajan2004 ; ^F05\.?1
copd      ; 10   ; 1  ; sundararajan2004 ; ^J40
copd      ; 10   ; 1  ; sundararajan2004 ; ^J41
copd      ; 10   ; 1  ; sundararajan2004 ; ^J42
copd      ; 10   ; 1  ; sundararajan2004 ; ^J44
copd      ; 10   ; 1  ; sundararajan2004 ; ^J43
copd      ; 10   ; 1  ; sundararajan2004 ; ^J45
copd      ; 10   ; 1  ; sundararajan2004 ; ^J46
copd      ; 10   ; 1  ; sundararajan2004 ; ^J47
copd      ; 10   ; 1  ; sundararajan2004 ; ^J67
copd      ; 10   ; 1  ; sundararajan2004 ; ^J44
copd      ; 10   ; 1  ; sundararajan2004 ; ^J60
copd      ; 10   ; 1  ; sundararajan2004 ; ^J61
copd      ; 10   ; 1  ; sundararajan2004 ; ^J62
copd      ; 10   ; 1  ; sundararajan2004 ; ^J63
copd      ; 10   ; 1  ; sundararajan2004 ; ^J66
copd      ; 10   ; 1  ; sundararajan2004 ; ^J64
copd      ; 10   ; 1  ; sundararajan2004 ; ^J65
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M32
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M34
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M33\.?2
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M05\.?3
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M05\.?8
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M05\.?9
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M06\.?0
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M06\.?3
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M06\.?9
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M05\.?0
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M05\.?2
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M05\.?1
rhd       ; 10   ; 1  ; sundararajan2004 ; ^M35\.?3
pud       ; 10   ; 1  ; sundararajan2004 ; ^K2[5-8]
mld       ; 10   ; 1  ; sundararajan2004 ; ^K70\.?2
mld       ; 10   ; 1  ; sundararajan2004 ; ^K70\.?3
mld       ; 10   ; 1  ; sundararajan2004 ; ^K73
mld       ; 10   ; 1  ; sundararajan2004 ; ^K71\.?7
mld       ; 10   ; 1  ; sundararajan2004 ; ^K74\.?0
mld       ; 10   ; 1  ; sundararajan2004 ; ^K74\.?2
mld       ; 10   ; 1  ; sundararajan2004 ; ^K74\.?6
mld       ; 10   ; 1  ; sundararajan2004 ; ^K74\.?3
mld       ; 10   ; 1  ; sundararajan2004 ; ^K74\.?4
mld       ; 10   ; 1  ; sundararajan2004 ; ^K74\.?5
dm        ; 10   ; 1  ; sundararajan2004 ; ^E10\.?9
dm        ; 10   ; 1  ; sundararajan2004 ; ^E11\.?9
dm        ; 10   ; 1  ; sundararajan2004 ; ^E13\.?9
dm        ; 10   ; 1  ; sundararajan2004 ; ^E14\.?9
dm        ; 10   ; 1  ; sundararajan2004 ; ^E10\.?1
dm        ; 10   ; 1  ; sundararajan2004 ; ^E11\.?1
dm        ; 10   ; 1  ; sundararajan2004 ; ^E13\.?1
dm        ; 10   ; 1  ; sundararajan2004 ; ^E14\.?1
dm        ; 10   ; 1  ; sundararajan2004 ; ^E10\.?5
dm        ; 10   ; 1  ; sundararajan2004 ; ^E11\.?5
dm        ; 10   ; 1  ; sundararajan2004 ; ^E13\.?5
dm        ; 10   ; 1  ; sundararajan2004 ; ^E14\.?5
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N01
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N03
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N05\.?2
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N05\.?3
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N05\.?4
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N05\.?5
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N05\.?6
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N07\.?2
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N07\.?3
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N07\.?4
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N18
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N19
rnd       ; 10   ; 1  ; sundararajan2004 ; ^N25
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E10\.?2
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E11\.?2
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E13\.?2
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E14\.?2
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E10\.?3
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E11\.?3
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E13\.?3
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E14\.?3
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E10\.?4
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E11\.?4
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E13\.?4
dmc       ; 10   ; 1  ; sundararajan2004 ; ^E14\.?4
hp        ; 10   ; 1  ; sundararajan2004 ; ^G81
hp        ; 10   ; 1  ; sundararajan2004 ; ^G04\.?1
hp        ; 10   ; 1  ; sundararajan2004 ; ^G82\.?0
hp        ; 10   ; 1  ; sundararajan2004 ; ^G82\.?1
hp        ; 10   ; 1  ; sundararajan2004 ; ^G82\.?2
mal       ; 10   ; 1  ; sundararajan2004 ; ^C0
mal       ; 10   ; 1  ; sundararajan2004 ; ^C1
mal       ; 10   ; 1  ; sundararajan2004 ; ^C2
mal       ; 10   ; 1  ; sundararajan2004 ; ^C3
mal       ; 10   ; 1  ; sundararajan2004 ; ^C40
mal       ; 10   ; 1  ; sundararajan2004 ; ^C41
mal       ; 10   ; 1  ; sundararajan2004 ; ^C43
mal       ; 10   ; 1  ; sundararajan2004 ; ^C45
mal       ; 10   ; 1  ; sundararajan2004 ; ^C46
mal       ; 10   ; 1  ; sundararajan2004 ; ^C47
mal       ; 10   ; 1  ; sundararajan2004 ; ^C48
mal       ; 10   ; 1  ; sundararajan2004 ; ^C49
mal       ; 10   ; 1  ; sundararajan2004 ; ^C5
mal       ; 10   ; 1  ; sundararajan2004 ; ^C6
mal       ; 10   ; 1  ; sundararajan2004 ; ^C70
mal       ; 10   ; 1  ; sundararajan2004 ; ^C71
mal       ; 10   ; 1  ; sundararajan2004 ; ^C72
mal       ; 10   ; 1  ; sundararajan2004 ; ^C73
mal       ; 10   ; 1  ; sundararajan2004 ; ^C74
mal       ; 10   ; 1  ; sundararajan2004 ; ^C75
mal       ; 10   ; 1  ; sundararajan2004 ; ^C76
mal       ; 10   ; 1  ; sundararajan2004 ; ^C80
mal       ; 10   ; 1  ; sundararajan2004 ; ^C81
mal       ; 10   ; 1  ; sundararajan2004 ; ^C82
mal       ; 10   ; 1  ; sundararajan2004 ; ^C83
mal       ; 10   ; 1  ; sundararajan2004 ; ^C84
mal       ; 10   ; 1  ; sundararajan2004 ; ^C85
mal       ; 10   ; 1  ; sundararajan2004 ; ^C88\.?3
mal       ; 10   ; 1  ; sundararajan2004 ; ^C88\.?7
mal       ; 10   ; 1  ; sundararajan2004 ; ^C88\.?9
mal       ; 10   ; 1  ; sundararajan2004 ; ^C90\.?0
mal       ; 10   ; 1  ; sundararajan2004 ; ^C90\.?1
mal       ; 10   ; 1  ; sundararajan2004 ; ^C91
mal       ; 10   ; 1  ; sundararajan2004 ; ^C92
mal       ; 10   ; 1  ; sundararajan2004 ; ^C93
mal       ; 10   ; 1  ; sundararajan2004 ; ^C94\.?0
mal       ; 10   ; 1  ; sundararajan2004 ; ^C94\.?1
mal       ; 10   ; 1  ; sundararajan2004 ; ^C94\.?2
mal       ; 10   ; 1  ; sundararajan2004 ; ^C94\.?3
mal       ; 10   ; 1  ; sundararajan2004 ; ^C94\.?51
mal       ; 10   ; 1  ; sundararajan2004 ; ^C94\.?7
mal       ; 10   ; 1  ; sundararajan2004 ; ^C95
mal       ; 10   ; 1  ; sundararajan2004 ; ^C96
msld      ; 10   ; 1  ; sundararajan2004 ; ^K72\.?9
msld      ; 10   ; 1  ; sundararajan2004 ; ^K76\.?[67]
msld      ; 10   ; 1  ; sundararajan2004 ; ^K72\.?1
mst       ; 10   ; 1  ; sundararajan2004 ; ^C7[789]
mst       ; 10   ; 1  ; sundararajan2004 ; ^C80
aidshiv   ; 10   ; 1  ; sundararajan2004 ; ^B2[0-4]
