Codes taken from Table 2 of Quan (2005)

condition           | icdv | dx | method         | pattern
AIDS                | 10   | 1  | quan2005       | ^B2[0-2,4]
AIDS                | 9    | 1  | ahrq_web       | ^04[2-4]
AIDS                | 9    | 1  | elixhauser1988 | ^04[2-4]
AIDS                | 9    | 1  | quan2005       | ^04[2-4]
ALCOHOL             | 10   | 1  | quan2005       | ^E52
ALCOHOL             | 10   | 1  | quan2005       | ^F10
ALCOHOL             | 10   | 1  | quan2005       | ^G62\.1
ALCOHOL             | 10   | 1  | quan2005       | ^I42\.6
ALCOHOL             | 10   | 1  | quan2005       | ^K29\.2
ALCOHOL             | 10   | 1  | quan2005       | ^K70\.[0,3,9]
ALCOHOL             | 10   | 1  | quan2005       | ^T51
ALCOHOL             | 10   | 1  | quan2005       | ^Z50\.2
ALCOHOL             | 10   | 1  | quan2005       | ^Z71\.4
ALCOHOL             | 10   | 1  | quan2005       | ^Z72\.1
ALCOHOL             | 9    | 1  | ahrq_web       | ^291\.[0-3,5,8,9]
ALCOHOL             | 9    | 1  | ahrq_web       | ^303
ALCOHOL             | 9    | 1  | ahrq_web       | ^305\.0
ALCOHOL             | 9    | 1  | elixhauser1988 | ^291\.[1,2,5-9]
ALCOHOL             | 9    | 1  | elixhauser1988 | ^303\.9
ALCOHOL             | 9    | 1  | elixhauser1988 | ^305\.0
ALCOHOL             | 9    | 1  | elixhauser1988 | ^V11\.3
ALCOHOL             | 9    | 1  | quan2005       | ^265\.2
ALCOHOL             | 9    | 1  | quan2005       | ^291\.[1-3,5-9]
ALCOHOL             | 9    | 1  | quan2005       | ^303\.[0,9]
ALCOHOL             | 9    | 1  | quan2005       | ^305\.0
ALCOHOL             | 9    | 1  | quan2005       | ^357\.5
ALCOHOL             | 9    | 1  | quan2005       | ^425\.5
ALCOHOL             | 9    | 1  | quan2005       | ^535\.3
ALCOHOL             | 9    | 1  | quan2005       | ^571\.[0-3]
ALCOHOL             | 9    | 1  | quan2005       | ^980
ALCOHOL             | 9    | 1  | quan2005       | ^V11\.3
ANEMDEF             | 10   | 1  | quan2005       | ^D50\.[8,9]
ANEMDEF             | 10   | 1  | quan2005       | ^D5[1-3]
ANEMDEF             | 9    | 1  | ahrq_web       | ^280\.[1-9]
ANEMDEF             | 9    | 1  | ahrq_web       | ^285\.[2,9]
ANEMDEF             | 9    | 1  | elixhauser1988 | ^280\.[1-9]
ANEMDEF             | 9    | 1  | elixhauser1988 | ^285\.9
ANEMDEF             | 9    | 1  | quan2005       | ^280\.[1-9]
ANEMDEF             | 9    | 1  | quan2005       | ^281
ARTH                | 10   | 1  | quan2005       | ^L94\.[0,1,3]
ARTH                | 10   | 1  | quan2005       | ^M0[5,6,8]
ARTH                | 10   | 1  | quan2005       | ^M12\.[0,3]
ARTH                | 10   | 1  | quan2005       | ^M31\.[0-3]
ARTH                | 10   | 1  | quan2005       | ^M3[0,2-5]
ARTH                | 10   | 1  | quan2005       | ^M45
ARTH                | 10   | 1  | quan2005       | ^M46\.[1,8,9]
ARTH                | 9    | 1  | ahrq_web       | ^701\.0
ARTH                | 9    | 1  | ahrq_web       | ^71[0,4]
ARTH                | 9    | 1  | ahrq_web       | ^72[0,5]
ARTH                | 9    | 1  | elixhauser1988 | ^701\.0
ARTH                | 9    | 1  | elixhauser1988 | ^71[0,4]
ARTH                | 9    | 1  | elixhauser1988 | ^72[0,5]
ARTH                | 9    | 1  | quan2005       | ^446
ARTH                | 9    | 1  | quan2005       | ^701\.0
ARTH                | 9    | 1  | quan2005       | ^710\.[0-4,8,9]
ARTH                | 9    | 1  | quan2005       | ^711\.2
ARTH                | 9    | 1  | quan2005       | ^714
ARTH                | 9    | 1  | quan2005       | ^719\.3
ARTH                | 9    | 1  | quan2005       | ^728\.5
ARTH                | 9    | 1  | quan2005       | ^728\.89
ARTH                | 9    | 1  | quan2005       | ^729\.30
ARTH                | 9    | 1  | quan2005       | ^72[0,5]
BLDLOSS             | 10   | 1  | quan2005       | ^D50\.0
BLDLOSS             | 9    | 1  | ahrq_web       | ^280\.0
BLDLOSS             | 9    | 1  | ahrq_web       | ^648.2
BLDLOSS             | 9    | 1  | elixhauser1988 | ^280\.0
BLDLOSS             | 9    | 1  | quan2005       | ^280\.0
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^I44\.[1-3]
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^I45\.[6,9]
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^I4[7-9]
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^R00\.[0,1,8]
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^T82\.1
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^Z45\.0
CARDIAC_ARRHYTHMIAS | 10   | 1  | quan2005       | ^Z95\.0
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^426\.1[0,1,3]
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^426\.5[0-3]
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^426\.[2-4,6-8]
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^427\.31
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^427\.60
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^427\.9
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^427\.[0,2]
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^785\.0
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^V45\.0
CARDIAC_ARRHYTHMIAS | 9    | 1  | elixhauser1988 | ^V53\.3
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | 426\.1[0,2,3]
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | 426\.[0,7,9]
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | 427\.[0-4,6-9]
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | 785\.0
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | 996\.0[1,4]
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | V45\.0
CARDIAC_ARRHYTHMIAS | 9    | 1  | quan2005       | V53\.3
CHF                 | 10   | 1  | quan2005       | ^I09\.9
CHF                 | 10   | 1  | quan2005       | ^I11\.0
CHF                 | 10   | 1  | quan2005       | ^I13\.[0,2]
CHF                 | 10   | 1  | quan2005       | ^I25\.5
CHF                 | 10   | 1  | quan2005       | ^I42\.[0,5-9]
CHF                 | 10   | 1  | quan2005       | ^I43
CHF                 | 10   | 1  | quan2005       | ^I50
CHF                 | 10   | 1  | quan2005       | ^P29\.0
CHF                 | 9    | 1  | ahrq_web       | ^398\.91
CHF                 | 9    | 1  | ahrq_web       | ^402\.[0,1,9]1
CHF                 | 9    | 1  | ahrq_web       | ^404\.[0,1,9][1,3]
CHF                 | 9    | 1  | ahrq_web       | ^428
CHF                 | 9    | 1  | elixhauser1988 | ^398\.91
CHF                 | 9    | 1  | elixhauser1988 | ^402\.[1,9]1
CHF                 | 9    | 1  | elixhauser1988 | ^404\.[1,9][1,3]
CHF                 | 9    | 1  | elixhauser1988 | ^428
CHF                 | 9    | 1  | quan2005       | ^398\.91
CHF                 | 9    | 1  | quan2005       | ^402\.[0,1,9]1
CHF                 | 9    | 1  | quan2005       | ^404\.[0,1,9][1,3]
CHF                 | 9    | 1  | quan2005       | ^425\.[4-9]
CHF                 | 9    | 1  | quan2005       | ^428
CHRNLUNG            | 10   | 1  | quan2005       | ^I27\.[8,9]
CHRNLUNG            | 10   | 1  | quan2005       | ^J4[0-7]
CHRNLUNG            | 10   | 1  | quan2005       | ^J68\.4
CHRNLUNG            | 10   | 1  | quan2005       | ^J70\.[1,3]
CHRNLUNG            | 10   | 1  | quan2005       | ^J[4,6][0-7]
CHRNLUNG            | 9    | 1  | ahrq_web       | ^49
CHRNLUNG            | 9    | 1  | ahrq_web       | ^506\.4
CHRNLUNG            | 9    | 1  | ahrq_web       | ^50[0-5]
CHRNLUNG            | 9    | 1  | elixhauser1988 | ^492\.[0-8]
CHRNLUNG            | 9    | 1  | elixhauser1988 | ^493\.9[0-1]
CHRNLUNG            | 9    | 1  | elixhauser1988 | ^493\.[0-8]
CHRNLUNG            | 9    | 1  | elixhauser1988 | ^49[0,1,4]
CHRNLUNG            | 9    | 1  | elixhauser1988 | ^505
CHRNLUNG            | 9    | 1  | elixhauser1988 | ^506\.4
CHRNLUNG            | 9    | 1  | quan2005       | ^416\.[8,9]
CHRNLUNG            | 9    | 1  | quan2005       | ^49
CHRNLUNG            | 9    | 1  | quan2005       | ^506\.4
CHRNLUNG            | 9    | 1  | quan2005       | ^508\.[1,8]
CHRNLUNG            | 9    | 1  | quan2005       | ^50[0-5]
COAG                | 10   | 1  | quan2005       | ^D69\.[1,3-6]
COAG                | 10   | 1  | quan2005       | ^D6[5-8]
COAG                | 9    | 1  | ahrq_web       | ^286
COAG                | 9    | 1  | ahrq_web       | ^287\.[1,3-5]
COAG                | 9    | 1  | elixhauser1988 | ^286
COAG                | 9    | 1  | elixhauser1988 | ^287\.[1,3-5]
COAG                | 9    | 1  | quan2005       | ^286
COAG                | 9    | 1  | quan2005       | ^287\.[1,3-5]
DEPRESS             | 9    | 1  | ahrq_web       | ^300\.4
DEPRESS             | 9    | 1  | ahrq_web       | ^301\.12
DEPRESS             | 9    | 1  | ahrq_web       | ^309\.[0,1]
DEPRESS             | 9    | 1  | ahrq_web       | ^311
DEPRESS             | 9    | 1  | elixhauser1988 | ^300\.4
DEPRESS             | 9    | 1  | elixhauser1988 | ^301\.12
DEPRESS             | 9    | 1  | elixhauser1988 | ^309\.[0,1]
DEPRESS             | 9    | 1  | elixhauser1988 | ^311
DEPRESS             | 9    | 1  | quan2005       | ^296\.[2,3,5]
DEPRESS             | 9    | 1  | quan2005       | ^300\.4
