U50         Team ball sports
U50.0       Football
U50.00      Australian rules
U50.01      Rugby Union
U50.02      Rugby League
U50.03      Rugby, unspecified
U50.04      Soccer
U50.05      Touch football
U50.08      Other specified football
U50.09      Football, unspecified
U50.1       Basketball
U50.2       Handball, team
U50.3       Netball
U50.31      Netball, indoor
U50.39      Netball, other and unspecified
U50.4       Korfball
U50.5       Volleyball
U50.8       Other specified team ball sport
U50.9       Unspecified team ball sport
U51         Team bat or stick sports
U51.0       Baseball
U51.1       Cricket
U51.2       Hockey
U51.20      Hockey, ice
U51.21      Hockey, street and ball
U51.22      Hockey, field
U51.23      Hockey, floor
U51.28      Other specified hockey
U51.29      Hockey, unspecified
U51.3       Softball
U51.4       T-ball
U51.8       Other specified team bat or stick sport
U51.9       Unspecified team bat or stick sport
U52         Team water sports
U52.0       Synchronised swimming
U52.1       Water polo
U52.8       Other specified team water sport
U52.9       Unspecified team water sport
U53         Boating sports
U53.0       Canoeing
U53.1       Jet skiing
U53.2       Kayaking
U53.3       Power boat racing
U53.4       Rowing and sculling
U53.5       Surf boating
U53.6       Yachting and sailing
U53.7       Surf skiing
U53.8       Other specified boating sport
U53.9       Unspecified boating sport
U54         Individual water sports
U54.0       Diving
U54.00      Diving, cliff
U54.01      Diving, springboard
U54.02      Diving, platform
U54.08      Other specified diving
U54.09      Diving, unspecified
U54.1       Fishing
U54.10      Rock fishing
U54.18      Other specified fishing
U54.19      Fishing, unspecified
U54.2       Scuba diving
U54.3       Snorkelling
U54.4       Surfing and boogie boarding
U54.5       Swimming
U54.50      Swimming, competitive
U54.51      Swimming, recreational
U54.59      Swimming, unspecified
U54.6       Water skiing
U54.60      Water ski jumping
U54.61      Wake boarding
U54.68      Other specified water skiing
U54.69      Water skiing, unspecified
U54.7       Wind surfing
U54.8       Other specified individual water sport
U54.9       Unspecified individual water sport
U55         Ice and snow sports
U55.0       Bobsledding
U55.1       Ice skating and ice dancing
U55.2       Skiing
U55.21      Skiing, alpine and downhill
U55.21      Skiing, nordic and cross country
U55.22      Skiing, freestyle
U55.23      Skiing, snow ski jumping
U55.28      Other specified skiing
U55.29      Skiing, unspecified
