"Kod"	"Giltig från"	"Överordnad kod"	"Titel"	"Latin"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Anmärkning"	"Kodningsinformation"	"Innehåll"	"Manifestation(*)/Etiologi(†)"	"Koppling Manifestation(*)/Etiologi(†)"	"Ej huvuddiagnos"	"Kodnivå - kodspecifikation"
"01"	"1997-01-01"	""	"Vissa infektionssjukdomar och parasitsjukdomar (A00-B99)"	"Aliqui morbi infectiosi et parasitarii"	""	""	"Sjukdomar som i allmänhet uppfattas som smittsamma eller överförbara"	"Bärare eller misstänkt bärare av agens för infektionssjukdom (Z22.-)"	""	"Tilläggskod (U82-U85) kan användas för att ange resistens mot antimikrobiella läkemedel"	"Detta kapitel innehåller följande avsnitt:<div>A00-A09 Infektionssjukdomar utgående från mag-tarmkanalen</div><div>A15-A19 Tuberkulos</div><div>A20-A28 Vissa djurburna bakteriesjukdomar</div><div>A30-A49 Andra bakteriesjukdomar</div><div>A50-A64 Huvudsakligen sexuellt överförda infektioner</div><div>A65-A69 Andra spiroketsjukdomar</div><div>A70-A74 Andra sjukdomar orsakade av klamydia</div><div>A75-A79 Sjukdomar orsakade av rickettsiaarter</div><div>A80-A89 Virusinfektioner i centrala nervsystemet</div><div>A92-A99 Febersjukdomar orsakade av virus överförda av leddjur och virusorsakade hemorragiska febrar</div><div>B00-B09 Virusinfektioner med hud- och slemhinneutslag</div><div>B15-B19 Virushepatit</div><div>B20-B24 Sjukdom orsakad av humant immunbristvirus [HIV]</div><div>B25-B34 Andra virussjukdomar</div><div>B35-B49 Svampsjukdomar</div><div>B50-B64 Protozosjukdomar</div><div>B65-B83 Masksjukdomar</div><div>B85-B89 Lusangrepp, angrepp av kvalsterarter och andra infestationer</div><div>B90-B94 Sena effekter av infektionssjukdomar och parasitsjukdomar</div><div>B95-B98 Bakterier, virus och andra infektiösa organismer</div><div>B99 Andra infektionssjukdomar</div>"	""	""	""	"Kapitelkod"
"01"	""	""	""	""	""	""	""	"Infektionssjukdomar och parasitsjukdomar, som komplikation till graviditet, förlossning och barnsängstid (med undantag för obstetrisk tetanus) (O98.-)"	""	""	""	""	""	""	""
"01"	""	""	""	""	""	""	""	"Infektionssjukdomar och parasitsjukdomar, specifika för perinatalperioden (med undantag för tetanus neonatorum, kikhosta, medfödd syfilis, perinatal gonokockinfektion och perinatal sjukdom orsakad av humant immunbristvirus [HIV]) (P35-P39)"	""	""	""	""	""	""	""
"01"	""	""	""	""	""	""	""	"Influensa och andra akuta luftvägsinfektioner (J00-J22)"	""	""	""	""	""	""	""
"01"	""	""	""	""	""	""	""	"Vissa lokaliserade infektioner - se kapitel för respektive organsystem"	""	""	""	""	""	""	""
"02"	"1997-01-01"	""	"Tumörer (C00-D48)"	"Neoplasmata"	""	""	""	""	"<div><div><b>1. Oklart definierade primära tumörer, sekundära tumörer (metastaser) och maligna tumörer utan angiven lokalisation</b></div></div><div>Kategorierna C76-C80 innefattar även maligna tumörer där ursprungslokalisationen inte är klart angiven eller där tumören beskrivs som ”disseminerad”, ”spridd” eller ”utspridd” utan att den primära lokalisationen nämns. I båda fallen förutsätts ursprungslokalisationen vara okänd.</div><div><div><b>2. Funktionell aktivitet</b></div></div><div>Alla tumörer klassificeras i detta kapitel antingen de är funktionellt aktiva eller inte. Tilläggskod från kapitel 4 kan användas för att ange funktionell aktivitet förenad med tumören. Så kan t.ex. ett katekolaminproducerande malignt feokromocytom i binjurarna kodas under C74 med tilläggskoden E27.5 och ett basofilt adenom i hypofysen med Cushings syndrom kodas under D35.2 med tilläggskoden E24.0.</div><div><div><b>3. Morfologisk-histologisk bild</b></div></div><div>Det finns ett antal större morfologiska (histologiska) grupper av maligna tumörer:<ul><li>karcinom (innefattande skivepitelcancer och adenokarcinom)</li><li>sarkom</li><li>andra mjukvävnadstumörer innefattande mesoteliom</li><li>lymfom (Hodgkin och non-Hodgkin)</li><li>leukemi</li><li>andra specificerade och lokalisationsspecifika typer</li><li>ospecificerade cancerformer</li></ul></div><div>Cancer är en generisk term och kan användas för alla ovanstående grupper även om termen sällan används för maligna tumörer i lymfatisk, blodbildande och besläktad vävnad. ”Karcinom” används ibland oriktigt som synonym för ”cancer”.</div><div>I kapitel 2 klassificeras tumörer företrädesvis efter lokalisation inom breda grupper med avseende på tumörens natur (malignitetsgrad). Endast i undantagsfall anges morfologin i kategori- och underkategorirubriker.</div><div>Den som önskar ange tumörens histologiska typ hänvisas till det särskilda avsnittet Morfologisk (histologisk) klassifikation av tumörer i denna bok. Dessa morfologikoder är hämtade från andra upplagan av The International Classification of Diseases for Oncology (ICD-O), vilken är en klassifikation med två axlar som erbjuder ett klassificeringssystem för topografi och morfologi oberoende av varandra. Morfologikoderna är sexställiga: de fyra första positionerna anger den histologiska typen; den femte positionen anger malignitetsgraden (primärt malign, sekundärt malign (genom metastaser), in situ, benign, osäkert om malign eller benign). Den sjätte positionen anger differentieringsgraden hos solida tumörer och används också som en specialkod för lymfom och leukemier.</div><div><div><b>4. Användning av underkategorier i kapitel 2</b></div></div><div>Det bör uppmärksammas att fjärdepositionskoden .8 i detta kapitel fått en speciell användning (se anmärkning 5). Där det blivit nödvändigt att använda undergrupper för ”andra” har i allmänhet dessa hänförts till fjärdepositionskoden .7.</div><div><div><b>5. Maligna tumörer som går över lokalisationsgränser och användningen av fjärdepositionskoden .8 (malign tumör med övergripande växt)</b></div></div><div>Kategorierna C00-C75 används för att klassificera primärt maligna tumörer med avseende på deras ursprungslokalisation. Många treställiga kategorier indelas vidare med avseende på namngivna anatomiska lokalisationer eller andra undergrupper av det aktuella organet. En tumör som utbreder sig över två eller flera intilliggande undergrupper inom en treställig kategori och vars ursprung ej kan fastställas, bör klassificeras under .8 (tumör med övergripande växt), om inte kombinationen särskilt anges på annat ställe. Ett exempel på detta är att malign tumör i esofagus och magsäck (med okänd ursprungslokalisation ) hänförs till C16.0 (kardia), under det att malign tumör på tungspetsen och tungans undersida (med okänd ursprungslokalisation) kodas under C02.8. Däremot bör malign tumör som utgått från tungspetsen och som växt in i och involverat tungans undersida hänföras till C02.1, eftersom ursprungslokalisationen (tungspetsen) är känd.</div><div>Övergripande växt innebär att de engagerade lokalisationerna ligger intill varandra. Undergrupper som kommer efter varandra i nummerordning är ofta anatomiskt sett varandra närliggande.</div><div>För att klassificera tumörer med övergripande växt som går över de treställiga kategorierna inom vissa organsystem har följande underkategorier bildats:<div>C02.8 Malign tumör i tungan med övergripande växt</div><div>C08.8 Malign tumör i de stora spottkörtlarna med övergripande växt</div><div>C14.8 Malign tumör i läpp, munhåla och farynx med övergripande växt</div><div>C21.8 Malign tumör i rektum, anus och analkanalen med övergripande växt</div><div>C24.8 Malign tumör i gallvägarna med övergripande växt</div><div>C26.8 Malign tumör i matsmältningsorganen med övergripande växt</div><div>C39.8 Malign tumör i respirationsorganen och brösthålans organ med övergripande växt</div><div>C41.8 Malign tumör i ben och ledbrosk med övergripande växt</div><div>C49.8 Malign tumör i bindväv och annan mjukvävnad med övergripande växt</div><div>C57.8 Malign tumör i de kvinnliga könsorganen med övergripande växt</div><div>C63.8 Malign tumör i de manliga könsorganen med övergripande växt</div><div>C68.8 Malign tumör i urinorganen med övergripande växt</div><div>C72.8 Malign tumör i hjärnan och andra delar av centrala nervsystemet med övergripande växt</div></div><div>Som exempel kan nämnas att en malign tumör i magsäcken och tunntarmen bör klassificeras under C26.8, Malign tumör i matsmältningsorganen med övergripande växt.</div><div><div><b>6. Malign tumör i ektopisk vävnad</b></div></div><div>Maligna tumörer som utgår från ektopisk vävnad ska klassificeras efter den aktuella lokalisationen. Det innebär t.ex. att ektopisk pankreatisk malign tumör i äggstock ska klassificeras som tumör i äggstock C56.</div><div><div><b>7. Användning av tredje upplagan av International Classification of Diseases for Oncology (ICD-O/3))</b></div></div><div>För vissa morfologiska tumörtyper ger kapitel 2 en begränsad topografisk klassifikation eller ingen alls. I ICD-O används som topografikoder huvudsakligen samma tre- och fyrställiga kategorier som i kapitel 2 används för primära maligna tumörer (C00-C77, C80). Härigenom får man större specificitet i kodningen av lokalisationen även för tumörer av annan natur såsom sekundära maligna tumörer (metastaser), benigna tumörer, in situ-tumörer och tumörer av oklar eller okänd natur. WHO rekommenderar därför institutioner, som är särskilt intresserade av att klassificera både tumörers lokalisation och morfologi, att använda ICD-O. Detta gäller t.ex. cancerregister och patologiavdelningar.</div>"	""	"<b>Detta kapitel innehåller följande stora grupper av tumörer:</b><div>C00-C97 Maligna tumörer</div><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C00-C75 Maligna tumörer med specificerad lokalisation, som konstaterats vara eller förmodats vara primära</font></div></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C00-C14 Läpp, munhåla och svalg</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C15-C26 Matsmältningsorganen</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C30-C39 Andningsorganen och brösthålans organ</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C40-C41 Ben och ledbrosk</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C43-C44 Huden</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C45-C49 Mesotelial vävnad och mjukvävnad</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C50 Bröstkörtel</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C51-C58 Kvinnliga könsorganen</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C60-C63 Manliga könsorganen</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C64-C68 Urinorganen</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C69-C72 Öga, hjärnan och andra delar av centrala nervsystemet</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C73-C75 Tyreoidea och andra endokrina körtlar</font></div></blockquote></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C76-C80 Maligna tumörer med ofullständigt angivna, sekundära och ospecificerade lokalisationer</font></div></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C81-C96 Maligna tumörer i lymfatisk, blodbildande och besläktad vävnad, som konstaterats vara eller förmodats vara primära</font></div></blockquote><blockquote style=\"margin: 0 0 0 40px; border: none; padding: 0px;\"><div><font size=\"2\"> C97 Flera (primära) maligna tumörer med olika utgångspunkter</font></div></blockquote><div>D00-D09 Cancer in situ</div><div>D10-D36 Benigna tumörer</div><div>D37-D48 Tumörer av osäker eller okänd natur (se anmärkning före D37)</div>"	""	""	""	"Kapitelkod"
"03"	"1997-01-01"	""	"Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet (D50-D89)"	"Morbi sanguinis, systematis haematopoietici et perturbationes immunosystematis"	""	""	""	"Autoimmuna (systemiska) sjukdomar UNS (M35.9)"	""	""	"<div>Detta kapitel innehåller följande avsnitt:<div>D50-D53 Nutritionsanemier</div><div>D55-D59 Hemolytiska anemier</div><div>D60-D64 Aplastiska och andra anemier</div><div>D65-D69 Koagulationsrubbningar, purpura och andra blödningstillstånd</div><div>D70-D77 Andra sjukdomar i blod och blodbildande organ</div><div>D80-D89 Vissa rubbningar i immunsystemet</div></div><div><br></div><div>Detta kapitel innehåller följande asteriskkoder:<div>D63* Anemi vid kroniska sjukdomar som klassificeras på annan plats</div><div>D77* Andra förändringar i blod och blodbildande organ vid sjukdomar som klassificeras på annan plats</div></div>"	""	""	""	"Kapitelkod"
"03"	""	""	""	""	""	""	""	"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar (E00-E90)"	""	""	""	""	""	""	""
"03"	""	""	""	""	""	""	""	"Komplikationer vid graviditet, förlossning och under barnsängstid (O00-O99)"	""	""	""	""	""	""	""
"03"	""	""	""	""	""	""	""	"Medfödda missbildningar, deformiteter och kromosomavvikelser (Q00-Q99)"	""	""	""	""	""	""	""
