icdv ; dx ; chapter ; subchapter ; code_range_start ; code_range_end ; pattern            ; description
9    ; 1  ; 1       ;            ; 001              ; 139            ; ^(0|1[0-3])        ; 001-139 Infectious And Parasitic Diseases
9    ; 1  ; 2       ;            ; 140              ; 239            ; ^(1[4-9]|2[0-3])   ; 140-239 Neoplasms
9    ; 1  ; 3       ;            ; 240              ; 279            ; ^2[4-7]            ; 240-279 Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders
9    ; 1  ; 4       ;            ; 280              ; 289            ; ^28                ; 280-289 Diseases Of The Blood And Blood-Forming Organs
9    ; 1  ; 5       ;            ; 290              ; 319            ; ^(29|3[0-1])       ; 290-319 Mental Disorders
9    ; 1  ; 6       ;            ; 320              ; 389            ; ^(3[2-8])          ; 320-389 Diseases Of The Nervous System And Sense Organs
9    ; 1  ; 7       ;            ; 390              ; 459            ; ^(39|4[0-5])       ; 390-459 Diseases Of The Circulatory System
9    ; 1  ; 8       ;            ; 460              ; 519            ; ^(4[6-9]|5[0-1])   ; 460-519 Diseases Of The Respiratory System
9    ; 1  ; 9       ;            ; 520              ; 579            ; ^5[2-7]            ; 520-579 Diseases Of The Digestive System
9    ; 1  ; 10      ;            ; 580              ; 629            ; ^(5[8-9]|6[0-2])   ; 580-629 Diseases Of The Genitourinary System
9    ; 1  ; 11      ;            ; 630              ; 679            ; ^6[3-7]            ; 630-679 Complications Of Pregnancy, Childbirth, And The Puerperium
9    ; 1  ; 12      ;            ; 680              ; 709            ; ^(6[8-9]|70)       ; 680-709 Diseases Of The Skin And Subcutaneous Tissue
9    ; 1  ; 13      ;            ; 710              ; 739            ; ^7[1-3]            ; 710-739 Diseases Of The Musculoskeletal System And Connective Tissue
9    ; 1  ; 14      ;            ; 740              ; 759            ; ^7[4-5]            ; 740-759 Congenital Anomalies
9    ; 1  ; 15      ;            ; 760              ; 779            ; ^7[6-7]            ; 760-779 Certain Conditions Originating In The Perinatal Period
9    ; 1  ; 16      ;            ; 780              ; 799            ; ^7[8-9]            ; 780-799 Symptoms, Signs, And Ill-Defined Conditions
9    ; 1  ; 17      ;            ; 800              ; 999            ; ^(8|9)\d\d         ; 800-999 Injury And Poisoning
9    ; 1  ; 18      ;            ; V01              ; V91            ; ^V                 ; V01-V91 Supplementary Classification Of Factors Influencing Health Status And Contact With Health Services
9    ; 1  ; 19      ;            ; E000             ; E999           ; ^E                 ; E000-E999 Supplementary Classification Of External Causes Of Injury And Poisoning
9    ; 1  ;         ; 001-009    ; 001              ; 009            ; ^00[1-9]           ; 001-009 Intestinal Infectious Diseases
9    ; 1  ;         ; 010-018    ; 010              ; 018            ; ^01[0-8]           ; 010-018 Tuberculosis
9    ; 1  ;         ; 020-027    ; 020              ; 027            ; ^02[0-7]           ; 020-027 Zoonotic Bacterial Diseases
9    ; 1  ;         ; 030-041    ; 030              ; 041            ; ^0(3|4[0-1])       ; 030-041 Other Bacterial Diseases
9    ; 1  ;         ; 042-042    ; 042              ; 042            ; ^042               ; 042-042 Human Immunodeficiency Virus
9    ; 1  ;         ; 045-049    ; 045              ; 049            ; ^04[5-9]           ; 045-049 Poliomyelitis And Other Non-Arthropod-Borne Viral Diseases Of Central Nervous System
9    ; 1  ;         ; 050-059    ; 050              ; 059            ; ^05                ; 050-059 Viral Diseases Accompanied By Exanthem
9    ; 1  ;         ; 060-066    ; 060              ; 066            ; ^06                ; 060-066 Arthropod-Borne Viral Diseases
9    ; 1  ;         ; 070-079    ; 070              ; 079            ; ^07                ; 070-079 Other Diseases Due To Viruses And Chlamydiae
9    ; 1  ;         ; 080-088    ; 080              ; 088            ; ^08                ; 080-088 Rickettsioses And Other Arthropod-Borne Diseases
9    ; 1  ;         ; 090-099    ; 090              ; 099            ; ^09                ; 090-099 Syphilis And Other Venereal Diseases
9    ; 1  ;         ; 100-104    ; 100              ; 104            ; ^10                ; 100-104 Other Spirochetal Diseases
9    ; 1  ;         ; 110-118    ; 110              ; 118            ; ^11                ; 110-118 Mycoses
9    ; 1  ;         ; 120-129    ; 120              ; 129            ; ^12                ; 120-129 Helminthiases
9    ; 1  ;         ; 130-136    ; 130              ; 136            ; ^13[0-6]           ; 130-136 Other Infectious And Parasitic Diseases
9    ; 1  ;         ; 137-139    ; 137              ; 139            ; ^13[7-9]           ; 137-139 Late Effects Of Infectious And Parasitic Diseases
9    ; 1  ;         ; 140-149    ; 140              ; 149            ; ^14                ; 140-149 Malignant Neoplasm Of Lip, Oral Cavity, And Pharynx
9    ; 1  ;         ; 150-159    ; 150              ; 159            ; ^15                ; 150-159 Malignant Neoplasm Of Digestive Organs And Peritoneum
9    ; 1  ;         ; 160-165    ; 160              ; 165            ; ^16                ; 160-165 Malignant Neoplasm Of Respiratory And Intrathoracic Organs
9    ; 1  ;         ; 170-176    ; 170              ; 176            ; ^17[0-6]           ; 170-176 Malignant Neoplasm Of Bone, Connective Tissue, Skin, And Breast
9    ; 1  ;         ; 179-189    ; 179              ; 189            ; ^1(79|8)           ; 179-189 Malignant Neoplasm Of Genitourinary Organs
9    ; 1  ;         ; 190-199    ; 190              ; 199            ; ^19                ; 190-199 Malignant Neoplasm Of Other And Unspecified Sites
9    ; 1  ;         ; 200-209    ; 200              ; 209            ; ^20                ; 200-209 Malignant Neoplasm Of Lymphatic And Hematopoietic Tissue
9    ; 1  ;         ; 210-229    ; 210              ; 229            ; ^2[1-2]            ; 210-229 Benign Neoplasms
9    ; 1  ;         ; 230-234    ; 230              ; 234            ; ^23[0-4]           ; 230-234 Carcinoma In Situ
9    ; 1  ;         ; 235-238    ; 235              ; 238            ; ^23[5-8]           ; 235-238 Neoplasms Of Uncertain Behavior
9    ; 1  ;         ; 239-239    ; 239              ; 239            ; ^239               ; 239-239 Neoplasms Of Unspecified Nature
9    ; 1  ;         ; 240-246    ; 240              ; 246            ; ^24[0-6]           ; 240-246 Disorders Of Thyroid Gland
9    ; 1  ;         ; 249-259    ; 249              ; 259            ; ^2(49|5)           ; 249-259 Diseases Of Other Endocrine Glands
